Timestamp (UTC),Waktu Lokal,Arah (BUY/SELL),SOL Amount,Token Amount,USD Value,Price USD,Wallet Address,Tags,Realized Profit USD,Current Balance,Total Trade Wallet,Tx Hash
2026-05-01 00:00:00.000,,BUY,5.000000,0,0,0.000100000000,M0,holder,0,0,0,x
2026-05-01 00:00:01.000,,SELL,5.000000,0,0,0.000100024691,M0,holder,0,0,0,x
2026-05-01 00:05:00.000,,BUY,5.000000,0,0,0.000107407407,M1,holder,0,0,0,x
2026-05-01 00:05:01.000,,SELL,5.000000,0,0,0.000107432099,M1,holder,0,0,0,x
2026-05-01 00:10:00.000,,BUY,5.000000,0,0,0.000114814815,M2,holder,0,0,0,x
2026-05-01 00:10:01.000,,SELL,5.000000,0,0,0.000114839506,M2,holder,0,0,0,x
2026-05-01 00:15:00.000,,BUY,5.000000,0,0,0.000122222222,M3,holder,0,0,0,x
2026-05-01 00:15:01.000,,SELL,5.000000,0,0,0.000122246914,M3,holder,0,0,0,x
2026-05-01 00:20:00.000,,BUY,5.000000,0,0,0.000129629630,M4,holder,0,0,0,x
2026-05-01 00:20:01.000,,SELL,5.000000,0,0,0.000129654321,M4,holder,0,0,0,x
2026-05-01 00:25:00.000,,BUY,5.000000,0,0,0.000137037037,M5,holder,0,0,0,x
2026-05-01 00:25:01.000,,SELL,5.000000,0,0,0.000137061728,M5,holder,0,0,0,x
2026-05-01 00:30:00.000,,BUY,5.000000,0,0,0.000144444444,M6,holder,0,0,0,x
2026-05-01 00:30:01.000,,SELL,5.000000,0,0,0.000144469136,M6,holder,0,0,0,x
2026-05-01 00:35:00.000,,BUY,5.000000,0,0,0.000151851852,M7,holder,0,0,0,x
2026-05-01 00:35:01.000,,SELL,5.000000,0,0,0.000151876543,M7,holder,0,0,0,x
2026-05-01 00:40:00.000,,BUY,5.000000,0,0,0.000159259259,M8,holder,0,0,0,x
2026-05-01 00:40:01.000,,SELL,5.000000,0,0,0.000159283951,M8,holder,0,0,0,x
2026-05-01 00:45:00.000,,BUY,5.000000,0,0,0.000166666667,M9,holder,0,0,0,x
2026-05-01 00:45:01.000,,SELL,5.000000,0,0,0.000166691358,M9,holder,0,0,0,x
2026-05-01 00:50:00.000,,BUY,5.000000,0,0,0.000174074074,M10,holder,0,0,0,x
2026-05-01 00:50:01.000,,SELL,5.000000,0,0,0.000174098765,M10,holder,0,0,0,x
2026-05-01 00:55:00.000,,BUY,5.000000,0,0,0.000181481481,M11,holder,0,0,0,x
2026-05-01 00:55:01.000,,SELL,5.000000,0,0,0.000181506173,M11,holder,0,0,0,x
2026-05-01 01:00:00.000,,BUY,5.000000,0,0,0.000188888889,M12,holder,0,0,0,x
2026-05-01 01:00:01.000,,SELL,5.000000,0,0,0.000188913580,M12,holder,0,0,0,x
2026-05-01 01:05:00.000,,BUY,5.000000,0,0,0.000196296296,M13,holder,0,0,0,x
2026-05-01 01:05:01.000,,SELL,5.000000,0,0,0.000196320988,M13,holder,0,0,0,x
2026-05-01 01:10:00.000,,BUY,5.000000,0,0,0.000203703704,M14,holder,0,0,0,x
2026-05-01 01:10:01.000,,SELL,5.000000,0,0,0.000203728395,M14,holder,0,0,0,x
2026-05-01 01:15:00.000,,BUY,5.000000,0,0,0.000211111111,M15,holder,0,0,0,x
2026-05-01 01:15:01.000,,SELL,5.000000,0,0,0.000211135802,M15,holder,0,0,0,x
2026-05-01 01:20:00.000,,BUY,5.000000,0,0,0.000218518519,M16,holder,0,0,0,x
2026-05-01 01:20:01.000,,SELL,5.000000,0,0,0.000218543210,M16,holder,0,0,0,x
2026-05-01 01:25:00.000,,BUY,5.000000,0,0,0.000225925926,M17,holder,0,0,0,x
2026-05-01 01:25:01.000,,SELL,5.000000,0,0,0.000225950617,M17,holder,0,0,0,x
2026-05-01 01:30:00.000,,BUY,5.000000,0,0,0.000233333333,M18,holder,0,0,0,x
